Name,State,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
NCGC00013082-04,0,2407.489116,1959.006779,2752.188398,2368.475116,2636.823877,2988.852636,1180.150308,66.540096,1.016064,4025.948539,4524.212262,5646.847144,5886.655847,5506.927747,4215.796939,1844.396619,390.2220114,31.08374443,165.664176,147.672284,208.738184,259.732336,268.189876,266.637456,163.566864,51.3216,6.718464,23.26030143,26.92547689,34.37666369,36.70513066,32.08746261,21.72670449,10.41188722,3.028297754,0.444612905,2982.979764,2568.952224,3673.40619,4778.685471,5074.466051,4681.577503,3084.277408,1110.572411,184.917652,278.3611111,102.4444444,223.5555556,175.8888889,190.7777778,433.5,227.3333333,28,1,133.7493953,115.2356929,114.6745166,78.94917053,85.05883474,110.6982458,69.42060635,11.090016,1.016064,223.6638077,266.1301331,235.2852977,196.2218616,177.6428306,156.1406274,108.4939188,65.03700189,31.08374443,9.203565333,8.686604941,8.697424333,8.657744533,8.651286323,9.875461333,9.621580235,8.5536,6.718464,1.292238968,1.583851582,1.432360987,1.223504355,1.035079439,0.804692759,0.612463954,0.504716292,0.444612905,165.721098,151.1148367,153.0585912,159.2895157,163.6924533,173.3917594,181.4280828,185.0954018,184.917652,15.46450617
NCGC00013095-01,0,1716.898363,1712.488566,1969.822063,1808.419757,1654.698288,1290.95741,1140.63941,779.346503,542.907546,5011.067194,6146.917727,7828.609507,8214.23398,7604.824111,6287.100057,4967.747512,3995.05409,2644.655395,209.689228,208.36944,355.826116,403.248572,480.792912,453.234128,334.287248,225.165476,266.32332,36.53523629,45.90446126,62.35829427,68.71903219,66.82572785,55.7940419,43.05831893,34.84187874,26.04299003,4781.912583,4082.760121,7685.608412,8714.470692,11176.86368,10629.4621,7924.340631,4853.605523,6613.975982,86.30555556,73.41666667,108.6666667,116.5833333,121.1944444,123.8333333,91.16666667,71.33333333,67.66666667,59.20339183,61.16030593,40.20045027,32.29320995,24.33379835,20.49138746,24.26892362,25.14020977,14.28704068,172.7954205,219.532776,159.767541,146.6827496,111.8356487,99.795239,105.6967556,128.8727126,69.59619461,7.230663034,7.441765714,7.261757469,7.200867357,7.070484,7.194192508,7.112494638,7.263402452,7.008508421,1.259835734,1.639445045,1.27261825,1.227125575,0.982731292,0.885619713,0.916134445,1.123931572,0.685341843,164.8935373,145.8128615,156.8491513,155.6155481,164.3656424,168.7216207,168.6029921,156.5679201,174.0519995,2.97605364
NCGC00013095-10,0,1716.898363,1712.488566,1969.822063,1808.419757,1654.698288,1290.95741,1140.63941,779.346503,542.907546,5011.067194,6146.917727,7828.609507,8214.23398,7604.824111,6287.100057,4967.747512,3995.05409,2644.655395,209.689228,208.36944,355.826116,403.248572,480.792912,453.234128,334.287248,225.165476,266.32332,36.53523629,45.90446126,62.35829427,68.71903219,66.82572785,55.7940419,43.05831893,34.84187874,26.04299003,4781.912583,4082.760121,7685.608412,8714.470692,11176.86368,10629.4621,7924.340631,4853.605523,6613.975982,86.30555556,73.41666667,108.6666667,116.5833333,121.1944444,123.8333333,91.16666667,71.33333333,67.66666667,59.20339183,61.16030593,40.20045027,32.29320995,24.33379835,20.49138746,24.26892362,25.14020977,14.28704068,172.7954205,219.532776,159.767541,146.6827496,111.8356487,99.795239,105.6967556,128.8727126,69.59619461,7.230663034,7.441765714,7.261757469,7.200867357,7.070484,7.194192508,7.112494638,7.263402452,7.008508421,1.259835734,1.639445045,1.27261825,1.227125575,0.982731292,0.885619713,0.916134445,1.123931572,0.685341843,164.8935373,145.8128615,156.8491513,155.6155481,164.3656424,168.7216207,168.6029921,156.5679201,174.0519995,2.97605364
NCGC00013103-01,0,2017.685844,1992.164952,2665.599199,2530.192721,1816.396145,1747.854585,1303.103626,530.60289,48.425328,4829.669032,5911.960412,8028.168936,8195.842455,6577.487267,5276.739388,3853.468283,1811.748994,403.0988553,178.672816,179.673056,283.316876,382.046452,374.817396,277.124644,235.813176,148.848696,52.933824,32.48724995,40.52584707,57.664924,61.94449524,51.13256153,39.7899798,28.28162288,14.23123613,3.961531901,3757.386011,3416.941107,5564.202997,7985.669485,8107.225769,6079.082787,5050.412057,3305.101197,1263.161709,141.5833333,84.72222222,144.2222222,182.6111111,153.8333333,122.5,124,72.66666667,19,87.72547148,86.61586748,72.04322159,50.60385442,37.06930908,47.23931311,43.43678753,27.92646789,6.917904,209.9856101,257.0417571,216.9775388,163.9168491,134.234434,142.6145781,128.4489428,95.35521023,57.58555076,7.768383304,7.811872,7.657212865,7.64092904,7.649334612,7.489855243,7.8604392,7.834141895,7.561974857,1.412489128,1.761993351,1.558511459,1.238889905,1.043521664,1.075404859,0.942720763,0.749012428,0.565933129,163.3646092,148.5626568,150.3838648,159.7133897,165.4535871,164.2995348,168.3470686,173.9526946,180.4516727,6.155797101
NCGC00013109-01,0,5062.9268,5707.434028,8054.677428,9013.516531,9550.862711,9314.255092,7930.19267,5753.082096,3462.198327,10160.72468,12923.71733,19602.78898,22757.7271,24031.28716,24751.33589,22356.37515,15694.41892,8573.447609,312.830729,333.340964,553.406118,724.076084,828.667654,841.78724,865.086172,760.52406,506.774172,70.83970067,88.83738769,134.1044641,160.0337642,171.3089022,179.7815054,164.0675968,115.199279,62.56911323,6032.52613,5870.456812,9844.391458,13572.6529,15713.29435,15997.0554,16731.987,15625.16129,10375.42409,262.5841907,136.9475309,329.1766975,336.8950617,385.0555556,403.2407407,456.4320988,348.8888889,370.7592593,129.8186359,135.8912864,116.7344555,97.97300577,91.83521838,87.04911301,72.09266064,58.70491935,54.955529,260.531402,307.7075556,284.098391,247.366599,231.0700689,231.3208962,203.2397741,160.1471318,136.08647,8.021300744,7.936689619,8.020378522,7.870392217,7.967958212,7.867170467,7.864419745,7.760449592,8.044034476,1.816402581,2.115175897,1.943542957,1.739497437,1.647200983,1.680200985,1.491523607,1.175502847,0.993160528,154.6801572,139.7727812,142.67234,147.5288359,151.0893688,149.5051906,152.1089727,159.4404214,164.6892712,6.732927966
NCGC00013109-03,0,5062.9268,5707.434028,8054.677428,9013.516531,9550.862711,9314.255092,7930.19267,5753.082096,3462.198327,10160.72468,12923.71733,19602.78898,22757.7271,24031.28716,24751.33589,22356.37515,15694.41892,8573.447609,312.830729,333.340964,553.406118,724.076084,828.667654,841.78724,865.086172,760.52406,506.774172,70.83970067,88.83738769,134.1044641,160.0337642,171.3089022,179.7815054,164.0675968,115.199279,62.56911323,6032.52613,5870.456812,9844.391458,13572.6529,15713.29435,15997.0554,16731.987,15625.16129,10375.42409,262.5841907,136.9475309,329.1766975,336.8950617,385.0555556,403.2407407,456.4320988,348.8888889,370.7592593,129.8186359,135.8912864,116.7344555,97.97300577,91.83521838,87.04911301,72.09266064,58.70491935,54.955529,260.531402,307.7075556,284.098391,247.366599,231.0700689,231.3208962,203.2397741,160.1471318,136.08647,8.021300744,7.936689619,8.020378522,7.870392217,7.967958212,7.867170467,7.864419745,7.760449592,8.044034476,1.816402581,2.115175897,1.943542957,1.739497437,1.647200983,1.680200985,1.491523607,1.175502847,0.993160528,154.6801572,139.7727812,142.67234,147.5288359,151.0893688,149.5051906,152.1089727,159.4404214,164.6892712,6.732927966
NCGC00013130-04,0,4483.012116,5014.040747,7458.409565,7887.764798,7329.455521,6089.284432,4852.21773,5123.570276,4222.426888,11191.80564,14111.28103,20540.60403,23317.1894,21841.51746,19066.23653,15656.16815,13730.62819,13151.45314,367.281648,397.87138,637.20506,811.627496,880.466468,850.933344,783.291656,622.181696,523.384912,75.3623621,95.47779414,141.8410325,163.5049383,159.2618733,141.2866447,118.841976,100.1792562,92.8624053,7813.926181,7655.376163,12595.29639,16359.34571,18444.33594,17898.36388,17292.69411,13468.39589,10780.34143,202.0555556,176.4444444,279.6944444,348.3333333,366.3333333,364.6666667,286.5555556,302.3333333,229.1111111,93.39608575,98.31452445,89.8603562,75.84389229,63.18496139,55.3571312,46.65593971,62.48256434,63.97616497,233.1626175,276.6917848,247.477157,224.2037442,188.2889436,173.329423,150.5400784,167.4466853,199.2644415,7.651701,7.801399608,7.677169398,7.804110538,7.590228172,7.735757673,7.531650538,7.587581659,7.930074424,1.57004921,1.872113611,1.708928103,1.572162869,1.372947183,1.284424042,1.142711308,1.221698246,1.407006141,162.7901288,150.105415,151.7505589,157.3014011,159.002896,162.7123989,166.2759049,164.2487304,163.3385065,4.209490741
NCGC00013216-01,0,2752.576076,1392.132943,1731.845434,2401.718861,757.266132,54.539856,1.016064,0,0,2929.165911,3083.332812,3901.879892,3722.254474,1826.701292,404.714743,31.08374443,0,0,107.208674,101.743176,161.36575,202.903653,158.961006,57.446496,6.718464,0,0,29.38680724,26.57302894,36.43899967,40.03127711,20.27182013,5.136145115,0.444612905,0,0,2259.835185,1872.802708,3171.05495,4297.236644,3556.457607,1435.570194,184.917652,0,0,53.38736473,32.3600823,46.06069959,52.8078799,44.71604938,13.24691358,1,0,0,196.6125769,107.0871495,82.46883019,88.95255041,36.060292,6.817482,1.016064,0,0,209.2261365,237.1794471,185.8038044,137.8612768,86.98577581,50.58934287,31.08374443,0,0,7.657762429,7.826398154,7.684083333,7.514950111,7.569571714,7.180812,6.718464,0,0,2.09905766,2.044079149,1.735190461,1.482639893,0.965324768,0.642018139,0.444612905,0,0,161.4167989,144.0617468,151.0026166,159.1569128,169.3551242,179.4462743,184.917652,0,0,3.813383195
NCGC00013217-01,0,3662.712072,2092.694759,3270.900504,5023.920565,3131.14218,1182.307428,66.540096,1.016064,0,3939.687655,4152.842001,5691.974593,6449.736865,4432.529056,1850.906877,390.2220114,31.08374443,0,141.36741,127.503616,186.669832,265.131801,245.126952,154.448208,51.3216,6.718464,0,33.21609343,30.57408399,44.36932188,52.86366051,32.90613155,13.02944049,3.028297754,0.444612905,0,2573.148094,2185.443683,3211.232272,4817.742664,4574.860885,2995.135616,1110.572411,184.917652,0,188.2206981,70.04115226,145.0864198,133.0691968,142.7407407,205.8271605,28,1,0,228.9195045,139.5129839,148.6772956,162.0619537,111.8265064,69.54749576,11.090016,1.016064,0,246.2304784,276.8561334,258.7261178,208.0560279,158.3046092,108.8768751,65.03700189,31.08374443,0,8.835463125,8.500241067,8.484992364,8.552638742,8.754534,9.085188706,8.5536,6.718464,0,2.076005839,2.038272266,2.016787358,1.705279371,1.175218984,0.766437676,0.504716292,0.444612905,0,160.8217559,145.6962455,145.9651033,155.4110537,163.3878887,176.184448,185.0954018,184.917652,0,11.76379363
NCGC00013225-01,0,2007.256994,1618.558765,2220.815307,1991.221085,1332.941458,1373.378358,1066.2453,64.507968,1.016064,3386.04086,3830.688844,4729.242924,4491.799821,3360.428303,2325.562295,1239.21746,328.0545225,31.08374443,144.771944,127.744348,194.141532,251.53814,203.80024,145.83276,90.550224,37.884672,6.718464,19.82819743,23.37601321,29.71381691,28.52585799,20.7114509,12.78838018,6.223898416,2.139071944,0.444612905,2670.734122,2256.752811,3572.406392,4837.333129,3912.863537,2770.928696,1603.069819,740.7371068,184.917652,237.8333333,83.02777778,172.8333333,216.9444444,136.9444444,167.5,181.3333333,26,1,125.4535621,107.9039177,96.55718726,68.66279603,57.95397643,85.83614737,118.4717,16.126992,1.016064,211.6275538,255.3792563,205.6192576,154.889649,146.1055784,145.3476434,137.6908289,82.01363063,31.08374443,9.0482465,8.516289867,8.440936174,8.673728966,8.86088,9.1145475,10.061136,9.471168,6.718464,1.239262339,1.558400881,1.291905083,0.983650275,0.900497865,0.799273761,0.691544268,0.534767986,0.444612905,166.9208826,150.4501874,155.322017,166.8045907,170.1245016,173.1830435,178.1188688,185.1842767,184.917652,14.86458333
NCGC00013226-01,0,5753.181796,5711.917645,9181.82099,9491.489308,8273.335539,7626.317361,8500.22098,7103.826231,7077.730236,11497.71658,14669.51552,22219.0184,25911.24799,25158.24961,23154.31364,21928.04138,20215.85775,19423.87572,406.942729,427.1403,794.548148,1003.272614,1145.854194,1084.228284,973.41987,975.93087,875.837856,82.20835672,103.1459334,160.0403598,197.1698252,197.6992774,181.8498324,166.9829159,150.4159412,142.1493566,8752.417002,8125.24164,16179.7591,20940.96469,24754.49312,23815.50684,20736.93282,21288.98634,18603.66145,291.6214849,154.4660494,433.6697531,338.3611111,383.3858025,351.2962963,315.2824074,373.8842593,379.4444444,110.6381115,103.8530481,91.8182099,71.90522203,54.42983907,52.59529214,65.89318589,55.93563961,63.19401997,221.1099342,266.718464,222.190184,196.2973333,165.5148001,159.6849217,169.9848169,159.1799823,173.4274618,7.825821712,7.766187273,7.94548148,7.600550106,7.538514434,7.477436441,7.545890465,7.684495039,7.819980857,1.580929937,1.875380608,1.600403598,1.493710797,1.300653141,1.254136775,1.294441208,1.18437749,1.269190684,168.3157116,147.7316662,161.797591,158.6436719,162.8585074,164.2448748,160.7514172,167.6298137,166.1041201,5.608105479
NCGC00013235-01,0,4861.369715,5710.808304,7925.475322,8358.136149,8584.195274,7852.996066,5686.033869,4572.396809,3704.667468,10079.12896,13706.98637,22361.85364,27982.60608,29251.18517,26434.09033,19951.52892,14048.03273,10215.63889,376.774693,400.179252,771.717078,1142.531996,1388.105592,1458.293156,1275.633668,856.723444,585.64496,77.70844262,98.99289878,164.0101793,217.7220185,243.2000829,224.7562516,167.7631437,118.2179262,83.07699825,7942.466806,7464.85009,14926.7468,23532.21276,29631.85695,32113.01261,28083.39212,19025.55839,12337.20544,240.854119,125.8611111,376.6502058,340.2939815,387.8616255,446.3215021,443.0961934,290.3389918,243.4886831,99.21162685,109.8232366,79.25475322,54.62834084,45.66061316,39.66159629,33.8454397,40.10874394,49.39556624,205.6965095,263.5958917,223.6185364,182.8928502,155.5914105,133.5055067,118.7591007,123.2283572,136.2085185,7.689279449,7.695754846,7.71717078,7.467529386,7.383540383,7.365116949,7.593057548,7.51511793,7.808599467,1.585886584,1.903709592,1.640101793,1.423019729,1.293617462,1.135132584,0.998590141,1.036999353,1.10769331,162.0911593,143.5548094,149.267468,153.8053121,157.6162604,162.1869324,167.1630483,166.8908631,164.4960726,4.915390184
