,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
51,39,4,1,tertiary,0,517,1,1,11,14,may,1328,1,-1,0,11,1
52,59,5,2,secondary,0,1521,1,1,11,14,may,1125,2,-1,0,11,1
53,41,1,2,secondary,0,2823,1,0,11,14,may,858,1,-1,0,11,1
54,48,1,2,secondary,0,1405,1,0,11,14,may,629,2,-1,0,11,1
55,40,0,2,secondary,0,1535,1,0,11,14,may,704,1,-1,0,11,1
56,48,1,2,secondary,0,1596,1,0,11,14,may,760,1,-1,0,11,1
57,60,5,2,primary,0,1542,1,0,11,14,may,930,1,-1,0,11,1
58,40,9,3,11,0,3652,1,0,11,14,may,1028,2,-1,0,11,1
59,57,9,2,tertiary,0,-1,0,0,11,14,may,850,2,-1,0,11,1
60,51,1,2,secondary,0,7180,1,0,11,14,may,927,1,-1,0,11,1
61,41,1,1,secondary,0,5291,1,0,11,14,may,1423,3,-1,0,11,1
62,41,1,2,secondary,0,1384,1,0,11,15,may,1162,4,-1,0,11,1
63,52,1,1,primary,0,-191,1,0,11,15,may,755,1,-1,0,11,1
64,59,1,2,primary,0,320,1,0,11,15,may,695,1,-1,0,11,1
65,44,1,2,11,0,146,1,0,11,15,may,483,1,-1,0,11,1
66,49,11,2,primary,0,341,1,1,11,15,may,520,2,-1,0,11,1
67,40,7,2,primary,0,-9,1,0,11,15,may,920,2,-1,0,11,1
68,41,0,2,primary,0,-306,1,0,11,15,may,500,1,-1,0,11,1
69,44,9,2,tertiary,0,4580,1,0,11,15,may,911,2,-1,0,11,1
70,60,7,3,primary,0,313,1,0,11,15,may,920,2,-1,0,11,1
71,29,4,2,tertiary,0,10576,0,0,11,15,may,1224,2,-1,0,11,1
72,41,5,1,primary,0,-233,1,0,11,15,may,1156,2,-1,0,11,1
73,41,1,2,primary,0,2453,1,0,11,15,may,1052,1,-1,0,11,1
74,42,9,3,secondary,0,1364,1,0,11,15,may,1867,6,-1,0,11,1
75,36,7,3,11,0,281,1,0,11,16,may,515,1,-1,0,11,1
76,39,9,2,tertiary,0,94,1,1,11,16,may,813,1,-1,0,11,1
77,31,6,3,tertiary,0,144,1,0,11,16,may,676,1,-1,0,11,1
78,26,1,2,secondary,0,246,1,0,11,16,may,1143,3,-1,0,11,1
79,31,1,2,secondary,0,92,1,0,11,16,may,688,1,-1,0,11,1
80,29,0,3,secondary,0,163,1,1,11,16,may,803,1,-1,0,11,1
81,37,7,1,secondary,0,49,1,0,11,16,may,619,2,-1,0,11,1
82,33,1,3,secondary,0,-416,1,0,11,16,may,767,2,-1,0,11,1
83,24,9,3,secondary,0,409,1,0,11,16,may,912,1,-1,0,11,1
84,50,0,1,secondary,0,363,1,0,11,16,may,1340,1,-1,0,11,1
85,27,9,3,tertiary,0,3706,1,0,11,16,may,897,1,-1,0,11,1
86,54,4,3,tertiary,0,4393,1,0,11,16,may,1297,3,-1,0,11,1
87,30,9,3,secondary,0,863,1,0,11,16,may,1193,5,-1,0,11,1
88,34,1,2,primary,0,695,1,1,11,16,may,1064,4,-1,0,11,1
89,37,4,3,secondary,0,792,1,0,11,16,may,1187,4,-1,0,11,1
90,41,0,3,secondary,0,1020,1,0,11,19,may,882,1,-1,0,11,1
91,47,1,2,secondary,0,863,1,0,11,19,may,943,2,-1,0,11,1
92,31,0,2,secondary,0,97,1,0,11,19,may,607,1,-1,0,11,1
93,31,1,2,secondary,0,754,1,0,11,19,may,1022,4,-1,0,11,1
94,43,7,1,secondary,0,1040,1,0,11,19,may,552,3,-1,0,11,1
95,37,4,1,tertiary,0,122,1,0,11,19,may,1622,2,-1,0,11,1
96,30,9,3,tertiary,0,880,1,1,11,19,may,967,6,-1,0,11,1
97,41,9,2,secondary,0,501,1,0,11,19,may,579,5,-1,0,11,1
98,36,1,2,secondary,0,4438,1,0,11,20,may,446,1,-1,0,11,1
99,35,1,1,secondary,0,0,1,0,11,20,may,1205,1,-1,0,11,1
100,29,7,3,secondary,0,271,1,0,11,20,may,1882,2,-1,0,11,1
101,35,1,2,primary,0,102,1,0,11,20,may,1334,1,-1,0,11,1
102,31,1,2,secondary,0,2,1,0,11,20,may,182,2,-1,0,11,1
103,35,7,2,secondary,0,4170,1,0,11,20,may,1777,1,-1,0,11,1
104,34,9,3,secondary,0,85,1,0,11,20,may,1182,4,-1,0,11,1
105,31,0,3,secondary,0,431,1,1,11,20,may,1045,1,-1,0,11,1
106,44,9,1,secondary,0,982,1,0,11,20,may,650,3,-1,0,11,1
107,36,1,2,primary,0,408,1,1,11,20,may,1063,2,-1,0,11,1
108,35,1,2,11,0,4822,1,0,11,20,may,843,2,-1,0,11,1
109,41,1,2,primary,0,1250,1,0,11,20,may,1392,2,-1,0,11,1
110,31,1,3,primary,0,216,1,0,11,21,may,565,1,-1,0,11,1
111,34,1,2,secondary,0,1207,1,0,11,21,may,905,1,-1,0,11,1
112,32,9,2,secondary,0,791,1,0,11,21,may,783,2,-1,0,11,1
113,36,4,2,tertiary,0,849,1,1,11,21,may,958,2,-1,0,11,1
114,30,1,3,secondary,1,239,1,0,11,21,may,412,1,-1,0,11,1
115,37,9,3,secondary,0,1211,1,0,11,21,may,795,1,-1,0,11,1
116,36,1,2,primary,0,599,1,0,11,21,may,649,2,-1,0,11,1
117,31,4,3,tertiary,0,825,1,0,11,21,may,506,2,-1,0,11,1
118,27,9,2,secondary,0,2183,1,1,11,21,may,857,1,-1,0,11,1
119,34,5,2,primary,0,4499,0,0,11,21,may,1681,1,-1,0,11,1
120,30,9,3,tertiary,0,1289,1,0,11,21,may,1697,2,-1,0,11,1
121,32,9,3,tertiary,0,4665,1,0,11,21,may,860,2,-1,0,11,1
122,37,9,3,secondary,0,3326,1,0,11,21,may,799,1,-1,0,11,1
123,32,1,2,secondary,0,783,1,0,11,21,may,923,3,-1,0,11,1
124,33,1,2,secondary,0,0,1,0,11,21,may,521,3,-1,0,11,1
125,35,1,2,primary,0,994,1,0,11,23,may,1349,8,-1,0,11,1
126,35,6,1,tertiary,0,1354,1,0,11,23,may,736,2,-1,0,11,1
127,30,1,3,secondary,0,239,1,0,11,23,may,785,1,-1,0,11,1
128,45,1,1,primary,0,-311,1,0,11,23,may,1030,1,-1,0,11,1
129,45,0,2,secondary,0,149,1,0,11,23,may,893,3,-1,0,11,1
130,33,1,2,secondary,0,1464,1,0,11,23,may,588,3,-1,0,11,1
131,44,4,1,tertiary,0,5773,0,0,11,23,may,597,6,-1,0,11,1
132,40,1,2,primary,0,278,1,0,11,23,may,1015,3,-1,0,11,1
133,31,1,2,secondary,0,2910,1,0,11,23,may,1392,2,-1,0,11,1
134,30,9,2,tertiary,0,541,1,0,11,26,may,414,2,-1,0,11,1
135,44,9,1,secondary,0,1262,1,0,11,26,may,788,11,-1,0,11,1
136,34,7,2,secondary,0,-538,1,0,11,26,may,682,1,-1,0,11,1
137,37,1,2,secondary,0,125,0,0,11,26,may,679,2,-1,0,11,1
138,28,6,3,tertiary,0,0,1,0,11,26,may,1560,2,-1,0,11,1
139,32,0,3,secondary,0,620,1,0,11,26,may,1234,3,-1,0,11,1
140,37,1,1,secondary,0,316,1,0,11,26,may,642,2,-1,0,11,1
141,34,4,2,tertiary,0,2287,1,0,11,26,may,895,4,-1,0,11,1
142,38,0,1,secondary,0,198,1,0,11,26,may,431,2,-1,0,11,1
143,28,0,3,secondary,0,460,1,0,11,26,may,741,6,-1,0,11,1
144,31,4,1,tertiary,0,1145,1,0,11,26,may,1272,4,-1,0,11,1
145,59,7,2,secondary,0,-22,1,0,11,26,may,748,3,-1,0,11,1
146,24,1,2,secondary,0,685,1,0,11,26,may,896,3,-1,0,11,1
147,26,7,3,secondary,0,901,1,0,11,26,may,764,2,-1,0,11,1
148,59,5,3,secondary,0,351,1,0,11,27,may,1063,5,-1,0,11,1
149,30,2,3,primary,0,0,1,1,11,27,may,1051,1,-1,0,11,1
150,37,0,2,secondary,0,274,1,0,11,27,may,731,3,-1,0,11,1
151,30,0,3,secondary,0,-213,1,1,11,27,may,751,1,-1,0,11,1
152,25,1,2,secondary,0,97,1,0,11,27,may,709,1,-1,0,11,1
153,44,7,1,secondary,0,51,1,1,11,27,may,3094,2,-1,0,11,1
154,29,4,2,tertiary,0,314,0,0,11,28,may,938,2,-1,0,11,1
155,26,4,3,tertiary,0,6840,1,0,11,28,may,1560,2,-1,0,11,1
156,26,9,3,secondary,0,668,1,0,11,28,may,576,3,-1,0,11,1
157,27,7,3,secondary,0,54,1,0,11,28,may,543,2,-1,0,11,1
158,25,6,3,secondary,0,1242,1,0,11,28,may,615,2,-1,0,11,1
159,28,4,2,secondary,0,292,1,0,11,28,may,507,1,-1,0,11,1
160,23,7,3,secondary,0,665,1,0,11,28,may,1183,1,-1,0,11,1
161,34,4,3,tertiary,0,1058,1,0,11,28,may,864,2,-1,0,11,1
162,28,8,3,secondary,0,949,1,0,11,28,may,1730,1,-1,0,11,1
163,51,2,2,11,0,606,1,0,11,28,may,560,9,-1,0,11,1
164,35,1,2,secondary,0,0,1,1,11,29,may,543,1,-1,0,11,1
165,35,0,2,secondary,0,404,1,0,11,29,may,539,1,-1,0,11,1
166,56,1,2,secondary,0,249,1,0,11,29,may,791,2,-1,0,11,1
167,45,10,1,secondary,0,3354,1,0,11,29,may,746,1,-1,0,11,1
168,60,1,1,secondary,0,0,1,0,11,29,may,1207,1,-1,0,11,1
169,56,9,2,secondary,0,589,1,0,11,29,may,535,2,-1,0,11,1
170,27,4,3,tertiary,0,12956,1,0,11,29,may,789,3,-1,0,11,1
171,30,0,2,secondary,0,873,1,0,11,29,may,792,3,-1,0,11,1
172,45,1,1,primary,0,594,1,0,11,29,may,833,2,-1,0,11,1
173,29,1,3,secondary,0,-20,1,0,11,29,may,814,2,-1,0,11,1
174,38,4,1,tertiary,0,4692,1,0,11,29,may,1363,2,-1,0,11,1
175,30,1,2,secondary,0,486,1,0,11,29,may,1109,3,-1,0,11,1
176,44,1,3,primary,0,1593,1,0,11,29,may,828,3,-1,0,11,1
177,36,4,3,tertiary,0,7606,1,0,11,30,may,917,1,-1,0,11,1
178,38,9,2,secondary,0,226,1,0,11,30,may,762,3,-1,0,11,1
179,36,1,3,secondary,0,366,1,1,11,30,may,1133,2,-1,0,11,1
180,37,4,1,secondary,0,16,1,0,11,30,may,638,1,-1,0,11,1
181,35,4,3,tertiary,0,565,1,0,11,30,may,763,1,-1,0,11,1
182,38,0,1,secondary,0,19,1,0,11,30,may,604,2,-1,0,11,1
183,40,7,2,primary,0,1082,1,0,11,30,may,854,2,-1,0,11,1
184,42,10,1,secondary,0,1713,1,0,11,30,may,855,2,-1,0,11,1
185,46,4,1,tertiary,0,14481,1,0,11,30,may,1269,1,-1,0,11,1
186,35,9,1,secondary,0,5724,1,0,11,30,may,691,10,-1,0,11,1
187,34,9,1,secondary,0,1451,1,0,11,30,may,1097,15,-1,0,11,1
188,32,7,2,secondary,0,-34,1,0,11,30,may,1236,2,-1,0,11,1
189,50,10,2,secondary,0,3674,1,0,11,30,may,886,3,-1,0,11,1
190,35,1,2,secondary,0,698,1,1,11,30,may,1343,3,-1,0,11,1
191,36,9,3,secondary,0,4136,1,0,11,30,may,812,3,-1,0,11,1
192,53,1,1,primary,0,2656,1,0,11,30,may,1980,2,-1,0,11,1
193,46,4,3,tertiary,0,2904,1,0,11,30,may,984,2,-1,0,11,1
194,26,4,3,tertiary,0,1004,1,0,11,30,may,228,2,-1,0,11,1
195,45,9,3,secondary,0,410,1,0,11,30,may,891,4,-1,0,11,1
196,31,10,1,primary,0,0,1,0,11,30,may,745,12,-1,0,11,1
197,29,4,3,tertiary,0,0,1,0,11,30,may,539,12,-1,0,11,1
198,53,2,3,secondary,0,62,1,0,11,30,may,1044,5,-1,0,11,1
199,27,1,2,primary,0,416,1,0,11,30,may,1193,2,-1,0,11,1
200,39,4,2,tertiary,0,2763,1,0,11,2,jun,526,2,-1,0,11,1
201,36,7,2,secondary,0,2984,1,0,11,2,jun,394,1,-1,0,11,1
202,41,1,2,primary,0,143,1,1,11,2,jun,659,2,-1,0,11,1
203,36,7,2,primary,0,0,1,0,11,2,jun,1036,1,-1,0,11,1
204,32,9,2,secondary,0,696,1,0,11,2,jun,815,1,-1,0,11,1
205,35,7,2,secondary,0,152,1,0,11,2,jun,563,1,-1,0,11,1
206,36,4,3,tertiary,0,-78,1,0,11,2,jun,1068,1,-1,0,11,1
207,35,4,2,tertiary,0,867,1,0,11,2,jun,230,3,-1,0,11,1
208,30,1,3,secondary,0,953,1,0,11,2,jun,747,2,-1,0,11,1
209,42,1,2,secondary,0,443,1,0,11,2,jun,671,5,-1,0,11,1
210,42,9,3,secondary,1,-1129,1,0,11,2,jun,555,5,-1,0,11,1
211,32,1,2,primary,0,415,1,0,11,2,jun,777,4,-1,0,11,1
212,29,1,3,secondary,0,260,1,0,11,2,jun,707,14,-1,0,11,1
213,44,4,1,tertiary,1,-411,1,0,11,2,jun,432,4,-1,0,11,1
214,32,9,3,secondary,0,1279,1,0,11,3,jun,1173,3,-1,0,11,1
215,31,10,2,secondary,0,86,1,1,11,3,jun,963,2,-1,0,11,1
216,40,6,2,secondary,1,-754,1,1,11,3,jun,941,3,-1,0,11,1
217,43,2,2,secondary,0,0,0,0,11,3,jun,1025,7,-1,0,11,1
218,27,4,3,secondary,0,178,1,0,11,3,jun,732,2,-1,0,11,1
219,37,7,3,secondary,0,278,1,0,11,3,jun,1045,3,-1,0,11,1
220,23,7,3,secondary,0,425,1,0,11,3,jun,768,1,-1,0,11,1
221,25,4,2,primary,0,168,1,0,11,3,jun,801,1,-1,0,11,1
222,26,1,3,secondary,1,-36,1,0,11,3,jun,482,2,-1,0,11,1
223,47,1,1,primary,0,126,1,0,11,3,jun,2456,2,-1,0,11,1
224,35,0,2,secondary,0,-87,1,0,11,3,jun,1363,7,-1,0,11,1
225,32,9,3,tertiary,0,6281,1,0,11,3,jun,1336,4,-1,0,11,1
226,45,4,1,secondary,0,644,1,0,11,4,jun,633,1,-1,0,11,1
227,30,0,1,secondary,0,377,1,0,11,4,jun,524,15,-1,0,11,1
228,29,7,3,secondary,0,-271,1,0,11,4,jun,578,1,-1,0,11,1
229,38,1,2,primary,0,5839,1,0,11,4,jun,984,2,-1,0,11,1
230,23,1,3,secondary,0,492,1,0,11,4,jun,638,1,-1,0,11,1
231,27,4,3,tertiary,0,99,1,0,11,4,jun,767,2,-1,0,11,1
232,27,4,3,tertiary,1,-713,1,0,11,4,jun,525,2,-1,0,11,1
233,29,7,3,secondary,0,32,1,0,11,4,jun,563,1,-1,0,11,1
234,30,6,2,tertiary,0,543,1,1,11,4,jun,1449,6,-1,0,11,1
235,36,1,2,primary,0,403,1,0,11,4,jun,920,1,-1,0,11,1
236,35,0,1,secondary,0,437,1,0,11,4,jun,908,1,-1,0,11,1
237,36,1,2,secondary,0,1772,0,0,11,5,jun,208,1,-1,0,11,1
238,59,5,1,primary,0,-88,1,0,11,5,jun,910,2,-1,0,11,1
239,47,2,2,secondary,0,0,0,0,11,5,jun,1446,1,-1,0,11,1
240,58,2,2,tertiary,0,853,0,0,11,5,jun,1149,2,-1,0,11,1
241,37,4,3,tertiary,0,240,0,0,11,5,jun,1123,1,-1,0,11,1
242,46,0,3,secondary,0,849,1,0,11,5,jun,508,2,-1,0,11,1
243,43,1,3,secondary,0,318,1,0,11,5,jun,736,2,-1,0,11,1
244,27,4,3,tertiary,0,703,1,0,11,5,jun,590,3,-1,0,11,1
245,38,7,1,secondary,0,61,0,0,11,5,jun,636,1,-1,0,11,1
246,53,3,2,primary,0,104,0,1,11,5,jun,701,1,-1,0,11,1
247,47,1,2,secondary,0,1996,0,0,11,5,jun,761,2,-1,0,11,1
248,56,3,1,primary,1,1238,0,0,11,5,jun,1558,1,-1,0,11,1
249,41,3,2,secondary,0,879,0,0,11,5,jun,1053,2,-1,0,11,1
250,29,6,2,secondary,0,425,1,0,11,5,jun,562,15,-1,0,11,1
251,50,9,2,secondary,0,416,1,0,11,5,jun,494,5,-1,0,11,1
252,45,1,1,primary,0,844,0,0,11,5,jun,1018,3,-1,0,11,1
253,35,1,2,secondary,0,860,1,0,11,5,jun,884,4,-1,0,11,1
254,26,9,3,secondary,0,639,1,0,11,6,jun,709,5,-1,0,11,1
255,26,0,2,secondary,0,710,1,1,11,6,jun,1276,2,-1,0,11,1
256,37,1,2,11,0,1508,0,1,11,6,jun,381,2,-1,0,11,1
257,30,0,3,secondary,0,223,1,0,11,6,jun,862,11,-1,0,11,1
258,38,4,3,tertiary,0,619,1,0,11,6,jun,460,4,-1,0,11,1
259,37,7,1,secondary,0,319,1,0,11,6,jun,467,3,-1,0,11,1
260,53,9,2,secondary,0,480,0,0,11,6,jun,648,2,-1,0,11,1
261,29,1,3,primary,0,213,1,0,11,6,jun,2653,3,-1,0,11,1
262,35,4,3,tertiary,0,68,0,0,11,6,jun,1085,1,-1,0,11,1
263,28,1,2,secondary,0,2788,1,0,11,6,jun,369,2,-1,0,11,1
264,55,1,2,11,0,7561,0,0,11,6,jun,685,3,-1,0,11,1
265,49,4,1,secondary,0,-46,1,0,11,9,jun,1055,10,-1,0,11,1
266,50,7,2,secondary,0,1595,0,0,11,9,jun,882,1,-1,0,11,1
267,43,4,3,tertiary,0,1046,0,0,11,9,jun,901,1,-1,0,11,1
268,58,6,1,tertiary,0,1382,0,0,11,9,jun,700,1,-1,0,11,1
269,38,9,2,primary,0,217,1,0,11,9,jun,491,6,-1,0,11,1
270,48,1,1,primary,0,183,0,0,11,9,jun,940,1,-1,0,11,1
271,59,4,2,secondary,0,1321,0,0,11,9,jun,3881,3,-1,0,11,1
272,58,1,2,secondary,0,25,0,0,11,9,jun,486,3,-1,0,11,1
273,36,6,3,tertiary,0,4844,0,0,11,9,jun,1137,3,-1,0,11,1
274,42,2,2,tertiary,0,5345,0,0,11,11,jun,878,3,-1,0,11,1
275,41,0,3,secondary,0,812,0,1,11,11,jun,583,4,-1,0,11,1
276,42,0,2,secondary,0,105,0,0,11,11,jun,1159,4,-1,0,11,1
277,39,4,2,tertiary,0,-190,0,1,11,11,jun,893,8,-1,0,11,1
278,57,3,2,primary,0,625,0,1,11,11,jun,867,1,-1,0,11,1
279,52,5,2,11,0,293,0,0,11,11,jun,706,1,-1,0,11,1
280,59,5,2,11,0,1033,0,0,11,11,jun,1199,1,-1,0,11,1
281,56,1,2,secondary,0,1210,0,0,11,11,jun,935,1,-1,0,11,1
282,49,4,2,tertiary,0,64,0,0,11,11,jun,586,1,-1,0,11,1
283,35,1,1,11,0,164,0,0,11,11,jun,967,2,-1,0,11,1
284,36,10,2,secondary,0,1766,0,0,11,11,jun,595,2,-1,0,11,1
285,40,0,3,tertiary,0,1248,0,0,11,11,jun,1290,2,-1,0,11,1
286,55,1,2,secondary,0,0,0,0,11,12,jun,614,2,-1,0,11,1
287,58,0,2,secondary,0,826,0,0,11,12,jun,885,1,-1,0,11,1
288,39,6,2,tertiary,0,2630,0,0,11,12,jun,651,5,-1,0,11,1
289,47,3,3,tertiary,0,3727,0,0,11,12,jun,993,6,-1,0,11,1
290,40,4,2,secondary,0,406,1,0,11,12,jun,577,2,-1,0,11,1
291,35,1,2,tertiary,0,2999,0,0,11,12,jun,1141,6,-1,0,11,1
292,48,1,2,secondary,0,1000,1,0,11,12,jun,1268,2,-1,0,11,1
293,48,4,1,tertiary,0,503,0,1,11,12,jun,1243,7,-1,0,11,1
294,24,1,3,secondary,1,-203,1,0,11,12,jun,465,3,-1,0,11,1
295,49,1,2,primary,0,361,1,0,11,16,jun,513,2,-1,0,11,1
296,36,1,2,secondary,0,274,1,0,11,16,jun,686,11,-1,0,11,1
297,52,5,1,tertiary,0,3687,1,1,11,16,jun,741,4,-1,0,11,1
298,42,2,3,11,0,323,0,0,11,16,jun,617,1,-1,0,11,1
299,36,7,2,secondary,0,981,0,0,11,16,jun,1093,1,-1,0,11,1
300,36,1,1,secondary,0,638,1,0,11,16,jun,1395,2,-1,0,11,1
301,48,10,3,tertiary,0,3229,0,0,11,16,jun,1089,1,-1,0,11,1
302,51,4,3,secondary,0,1610,1,0,11,16,jun,1248,3,-1,0,11,1
303,51,1,2,secondary,0,33,0,1,11,16,jun,721,3,-1,0,11,1
304,46,9,2,secondary,0,536,1,0,11,16,jun,750,2,-1,0,11,1
305,37,4,2,tertiary,0,0,0,0,11,16,jun,637,6,-1,0,11,1
306,36,2,2,tertiary,0,3057,0,0,11,16,jun,2769,4,-1,0,11,1
307,47,4,2,secondary,0,2892,0,0,11,17,jun,556,1,-1,0,11,1
308,40,9,1,tertiary,0,0,0,0,11,17,jun,522,1,-1,0,11,1
309,38,8,3,tertiary,0,3316,0,0,11,17,jun,1345,3,-1,0,11,1
310,40,4,2,secondary,0,106,0,0,11,17,jun,676,2,-1,0,11,1
311,39,1,2,primary,0,2303,1,0,11,17,jun,775,3,-1,0,11,1
312,60,4,2,tertiary,0,3301,0,0,11,17,jun,2621,3,-1,0,11,1
313,39,6,3,tertiary,0,426,0,0,11,18,jun,1029,1,-1,0,11,1
314,51,7,1,secondary,0,9,0,0,11,18,jun,371,2,-1,0,11,1
315,27,0,2,secondary,0,-97,1,0,11,18,jun,1528,2,-1,0,11,1
316,41,4,3,tertiary,0,11008,0,0,11,18,jun,1540,1,-1,0,11,1
317,42,1,3,primary,0,4930,0,0,11,18,jun,973,1,-1,0,11,1
318,41,2,2,secondary,0,707,0,0,11,18,jun,707,1,-1,0,11,1
319,33,9,2,secondary,0,4,1,1,11,18,jun,625,2,-1,0,11,1
320,46,0,2,secondary,0,126,0,0,11,18,jun,1255,1,-1,0,11,1
321,31,1,2,secondary,0,671,1,0,11,18,jun,704,4,-1,0,11,1
322,41,1,2,primary,0,219,0,1,11,18,jun,1574,3,-1,0,11,1
323,41,1,1,secondary,0,3622,0,0,11,19,jun,1135,4,-1,0,11,1
324,55,5,1,secondary,0,1580,0,1,11,19,jun,1007,1,-1,0,11,1
325,53,9,2,secondary,0,1319,0,0,11,19,jun,1318,3,-1,0,11,1
326,55,3,2,primary,0,2152,0,0,11,19,jun,922,2,-1,0,11,1
327,39,7,2,secondary,0,2843,1,0,11,19,jun,585,1,-1,0,11,1
328,40,2,2,tertiary,1,0,0,0,11,19,jun,952,4,-1,0,11,1
329,59,5,2,primary,0,1115,0,0,11,19,jun,834,1,-1,0,11,1
330,42,1,3,secondary,0,625,0,0,11,19,jun,651,3,-1,0,11,1
331,41,1,2,primary,0,246,0,0,11,19,jun,683,3,-1,0,11,1
332,27,1,2,secondary,0,61,1,0,11,19,jun,1012,1,-1,0,11,1
333,25,1,3,secondary,0,-191,1,0,11,19,jun,958,7,-1,0,11,1
334,43,10,2,primary,0,519,0,0,11,20,jun,973,2,-1,0,11,1
335,44,7,2,secondary,0,522,0,1,11,20,jun,911,1,-1,0,11,1
336,26,1,3,secondary,0,-46,1,0,11,20,jun,382,7,-1,0,11,1
337,52,5,2,tertiary,0,2269,0,0,11,20,jun,1210,1,-1,0,11,1
338,54,7,2,11,0,386,0,1,11,20,jun,838,1,-1,0,11,1
339,56,4,2,tertiary,0,0,0,1,11,20,jun,422,1,-1,0,11,1
340,57,4,2,tertiary,0,9103,0,1,11,20,jun,1098,2,-1,0,11,1
341,29,1,3,secondary,0,908,1,0,11,20,jun,1663,1,-1,0,11,1
342,47,9,2,tertiary,0,1694,0,1,11,20,jun,560,3,-1,0,11,1
343,57,4,2,tertiary,0,-92,1,1,11,20,jun,1617,1,-1,0,11,1
344,40,1,2,secondary,0,188,1,1,11,20,jun,570,2,-1,0,11,1
